ID,DOI,Abstract
3,10.1161/01.STR.0000014509.11540.66,"Background and Purpose— Among patients with acute stroke, high blood pressure is often associated with poor outcome, although the reason is unclear. We analyzed data from the International Stroke Trial (IST) to explore the relationship between systolic blood pressure (SBP), subsequent clinical events over the next 2 weeks, and functional outcome at 6 months in patients with acute stroke. Methods— We included in the analysis 17 398 patients from IST with confirmed ischemic stroke. A single measurement of SBP was made immediately before randomization. Clinical events within 14 days of randomization were recorded: recurrent ischemic stroke, symptomatic intracranial hemorrhage, death resulting from presumed cerebral edema, fatal coronary heart disease, and death. Survival and dependency were assessed at 6 months. Outcomes were adjusted for age, sex, clinical stroke syndrome, time to randomization, consciousness level, atrial fibrillation, and treatment allocation (aspirin, unfractionated heparin, both, or neither). Results— A U-shaped relationship was found between baseline SBP and both early death and late death or dependency: early death increased by 17.9% for every 10 mm Hg below 150 mm Hg (P<0.0001) and by 3.8% for every 10 mm Hg above 150 mm Hg (P=0.016). The rate of recurrent ischemic stroke within 14 days increased by 4.2% for every 10–mm Hg increase in SBP (P=0.023); this association was present in both fatal and nonfatal recurrence. Death resulting from presumed cerebral edema was independently associated with high SBP (P=0.004). No relationship between symptomatic intracranial hemorrhage and SBP was seen. Low SBP was associated with a severe clinical stroke (total anterior circulation syndrome) and an excess of deaths from coronary heart disease (P=0.002). Conclusions— Both high blood pressure and low blood pressure were independent prognostic factors for poor outcome, relationships that appear to be mediated in part by increased rates of early recurrence and death resulting from presumed cerebral edema in patients with high blood pressure and increased coronary heart disease events in those with low blood pressure. The occurrence of symptomatic intracranial hemorrhage within 14 days was independent of SBP."
4,10.1161/01.str.0000116869.64771.5a,"Background— The last few years have seen a considerable increase in the amount of information available concerning blood pressure (BP) and stroke associations. This article provides an overview of published reviews of the effects on stroke seen in trials of BP-lowering drugs and compares these with the results available from cohort studies. Summary of Review— We present a review of major overviews of prospective cohort studies and an updated meta-analysis of >40 randomized controlled trials of BP lowering, which included >188 000 participants and approximately 6800 stroke events. Cohort studies now indicate that in the Asia Pacific region as well as in North America and Western Europe, each 10 mm Hg lower systolic BP is associated with a decrease in risk of approximately one third in subjects aged 60 to 79 years. The association is continuous down to levels of at least 115/75 mm Hg and is consistent across sexes, regions, and stroke subtypes and for fatal and nonfatal events. The proportional association is age dependent but is still a strong and positive association in those aged 80 years. Data from randomized controlled trials, in which mean age at event was approximately 70 years, indicate that a 10 mm Hg reduction in systolic BP is associated with a reduction in risk of stroke of approximately one third. Per mm Hg systolic BP reduction, the benefits for stroke appear similar between agents, by baseline BP levels, and whether or not individuals have a past history of cardiovascular disease. There is, however, evidence of greater benefit with a larger BP reduction. Conclusions— The epidemiologically expected benefits of BP lowering for stroke risk reduction are broadly consistent across a range of different population subgroups. There are greater benefits from larger BP reductions, and initiating and maintaining BP reduction for stroke prevention is a more important issue than choice of initial agent."
5,10.1056/nejmoa003417,"BACKGROUND Information is limited regarding the risk of cardiovascular disease in persons with high-normal blood pressure (systolic pressure of 130 to 139 mm Hg, diastolic pressure of 85 to 89 mm Hg, or both). METHODS We investigated the association between blood-pressure category at base line and the incidence of cardiovascular disease on follow-up among 6859 participants in the Framingham Heart Study who were initially free of hypertension and cardiovascular disease. RESULTS A stepwise increase in cardiovascular event rates was noted in persons with higher base-line blood-pressure categories. The 10-year cumulative incidence of cardiovascular disease in subjects 35 to 64 years of age who had high-normal blood pressure was 4 percent (95 percent confidence interval, 2 to 5 percent) for women and 8 percent (95 percent confidence interval, 6 to 10 percent) for men; in older subjects (those 65 to 90 years old), the incidence was 18 percent (95 percent confidence interval, 12 to 23 percent) for women and 25 percent (95 percent confidence interval, 17 to 34 percent) for men. As compared with optimal blood pressure, high-normal blood pressure was associated with a risk-factor–adjusted hazard ratio for cardiovascular disease of 2.5 (95 percent confidence interval, 1.6 to 4.1) in women and 1.6 (95 percent confidence interval, 1.1 to 2.2) in men. CONCLUSIONS High-normal blood pressure is associated with an increased risk of cardiovascular disease. Our findings emphasize the need to determine whether lowering high-normal blood pressure can reduce the risk of cardiovascular disease."
6,10.1016/s0140-6736(16)31919-5,"Background Raised blood pressure is an important risk factor for cardiovascular diseases and chronic kidney disease. We estimated worldwide trends in mean systolic and mean diastolic blood pressure, and the prevalence of, and number of people with, raised blood pressure, defined as systolic blood pressure of 140 mm Hg or higher or diastolic blood pressure of 90 mm Hg or higher. Methods For this analysis, we pooled national, subnational, or community population-based studies that had measured blood pressure in adults aged 18 years and older. We used a Bayesian hierarchical model to estimate trends from 1975 to 2015 in mean systolic and mean diastolic blood pressure, and the prevalence of raised blood pressure for 200 countries. We calculated the contributions of changes in prevalence versus population growth and ageing to the increase in the number of adults with raised blood pressure. Findings We pooled 1479 studies that had measured the blood pressures of 19·1 million adults. Global age-standardised mean systolic blood pressure in 2015 was 127·0 mm Hg (95% credible interval 125·7–128·3) in men and 122·3 mm Hg (121·0–123·6) in women; age-standardised mean diastolic blood pressure was 78·7 mm Hg (77·9–79·5) for men and 76·7 mm Hg (75·9–77·6) for women. Global age-standardised prevalence of raised blood pressure was 24·1% (21·4–27·1) in men and 20·1% (17·8–22·5) in women in 2015. Mean systolic and mean diastolic blood pressure decreased substantially from 1975 to 2015 in high-income western and Asia Pacific countries, moving these countries from having some of the highest worldwide blood pressure in 1975 to the lowest in 2015. Mean blood pressure also decreased in women in central and eastern Europe, Latin America and the Caribbean, and, more recently, central Asia, Middle East, and north Africa, but the estimated trends in these super-regions had larger uncertainty than in high-income super-regions. By contrast, mean blood pressure might have increased in east and southeast Asia, south Asia, Oceania, and sub-Saharan Africa. In 2015, central and eastern Europe, sub-Saharan Africa, and south Asia had the highest blood pressure levels. Prevalence of raised blood pressure decreased in high-income and some middle-income countries; it remained unchanged elsewhere. The number of adults with raised blood pressure increased from 594 million in 1975 to 1·13 billion in 2015, with the increase largely in low-income and middle-income countries. The global increase in the number of adults with raised blood pressure is a net effect of increase due to population growth and ageing, and decrease due to declining age-specific prevalence. Interpretation During the past four decades, the highest worldwide blood pressure levels have shifted from high-income countries to low-income countries in south Asia and sub-Saharan Africa due to opposite trends, while blood pressure has been persistently high in central and eastern Europe. Funding Wellcome Trust."
7,10.1038/nrn1902,"Key Points There is growing evidence that the CNS contributes to the development and maintenance of many forms of human hypertension. The disease is typically associated with an elevated sympathetic nerve activity (SNA) and is often satisfactorily controlled by sympatholytic drugs. The mechanism by which SNA elevates resting blood pressure (BP) is not completely understood, but is thought to involve a resetting of the renal barostat (relationship between BP and sodium excretion). Several subsets of sympathetic efferent regulate the circulation. The efferents that are most crucial to BP control are tonically active at rest, and their defining property is a powerful feedback inhibition of arterial baroreceptor origin (barosensitive efferents). These sympathetic efferents respond in parallel fashion to many stimuli but can also be differentially regulated according to their visceral target (for example, the heart versus the kidney). Barosensitive efferents are recruited to raise BP and cardiac output in keeping with behaviour, but their mean level of activity at rest probably has the greatest influence on the 24-h average BP level. This basal activity is generated by a network of brainstem and hypothalamic neurons that converge at several crucial nodal points — the nucleus of the solitary tract (NTS), the rostral ventrolateral medulla (RVLM) and the paraventricular nucleus of the hypothalamus (PVH). This network is regulated by somatic and visceral sensory afferents and by blood-borne factors (for example, sodium, oxygen, hormones and cytokines), osmolality and pH. These influence selected populations of neurons via circumventricular organs, transendothelial coupling or by simple diffusion. The RVLM contains adrenergic and other neurons that are the principle source of excitatory drive to the barosensitive sympathetic preganglionic neurons. These neurons have a key role in short-term BP stabilization via the baroreflex, and in coordinating the circulation with respiration. The PVH also regulates the basal activity of barosensitive sympathetic efferents via parvocellular neurons that project to the RVLM, the NTS and the spinal cord. These neurons are especially important in the context of blood volume and regulation of sodium concentrations. Sympathetic nerve hyperactivity is commonly mediated by an elevated discharge of the sympathoexcitatory neurons located in the RVLM and PVH, but the root cause of these changes can be remote. For example, increased SNA and neurogenic hypertension can be caused by dysfunction of sensory afferents, such as chemoreceptors, baroreceptors and renal afferents, inappropriately high concentrations of hormones that regulate blood volume and sodium concentration via the hypothalamus–sympathetic nervous system axis, brainstem hypoxaemia or oxidative stress due to hyperactivity of the brain renin–angiotensin system. Abstract Hypertension — the chronic elevation of blood pressure — is a major human health problem. In most cases, the root cause of the disease remains unknown, but there is mounting evidence that many forms of hypertension are initiated and maintained by an elevated sympathetic tone. This review examines how the sympathetic tone to cardiovascular organs is generated, and discusses how elevated sympathetic tone can contribute to hypertension."
8,10.1093/ajh/1.4.335,"Abstract A primary role for the kidney in the initiation and maintenance of hypertension has long been recognized, but the pathogenetic interactions among renal hemodynamics, hormonal and hereditary factors, and dietary sodium intake remain enigmatic. Reduction in filtration surface area, whether acquired in the course of intrinsic renal disease or after surgical renal ablation, leads to systemic hypertension as well as to progressive renal insufficiency, sequellae made even more severe by dietary sodium excess. Moreover, hypertension and progressive renal disease eventuate in some individuals born with a solitary kidney, as well as in those with more severe degrees of dysgenesis (ie, oligomeganephronia). Hypertension is also commonly observed in certain inbred rat strains in which filtration surface area is congenitally deficient. Based on these and other lines of evidence reviewed herein, we postulate that a renal abnormality that contributes to essential hypertension in the general population is a reduced number of nephrons. The consequences of this abnormality are limitations in the ability to excrete sodium and thus, salt-sensitive hypertension. Finally, congenital variability in filtration surface area may explain why only some, but not all, patients exposed to potentially injurious renal stimuli eventually manifest chronic nephropathy. This may also account for the susceptibility of subsets of Type I and Type II diabetics to develop overt glomerulopathy. Am J Hypertens 1988;1:335-347"
9,10.1109/TBME.2015.2441951,"Abstract Ubiquitous blood pressure (BP) monitoring is needed to improve hypertension detection and control and is becoming feasible due to recent technological advances such as in wearable sensing. Pulse transit time (PTT) represents a well-known, potential approach for ubiquitous BP monitoring. The goal of this review is to facilitate the achievement of reliable, ubiquitous BP monitoring via PTT. We explain the conventional BP measurement methods and their limitations; present models to summarize the theory of the PTT-BP relationship; outline the approach while pinpointing the key challenges; overview the previous work towards putting the theory to practice; make suggestions for best practice and future research; and discuss realistic expectations for the approach. Index Terms: cuff-less blood pressure, pulse transit time, pulse wave velocity, review, ubiquitous sensing, wearable"
10,10.1007/s11906-020-01077-7,"Abstract Hypertension is the leading risk factor for death and disability-adjusted life-years lost globally. Despite this tremendous impact on health, blood pressure measurement and treatment are relatively new to medical practice, with widespread measurement beginning just over 100 years ago. How, in such a short time, did blood pressure become such an integral measurement in medical practice that it is now considered one of the vital signs? Key revelations through Stephen Hales and his horse experiment, Riva-Rocci's modern blood pressure cuff, Korotkoff sounds, and President Roosevelt's death set the stage for discovery. Landmark trials such as the VA Cooperative studies of the 1960s through the recent Systolic Blood Pressure Intervention Trial and Prevention with Mediterranean Diet trials provide the foundation for modern clinical practice. An understanding of the history of hypertension can directly affect current clinical practice and offers unique insights into how the medical community has approached the management of one of the deadliest medical conditions in history. Keywords: Antihypertensive medication development; Blood pressure goals; Hypertension history; Hypertension trials; Korotkoff; Oscillometry; Sphygmomanometer."
11,10.1007/s13246-019-00813-x,"Abstract High blood pressure (BP) or hypertension is the single most crucial adjustable risk factor for cardiovascular diseases (CVDs) and monitoring the arterial blood pressure (ABP) is an efficient way to detect and control the prevalence of the cardiovascular health of patients. Therefore, monitoring the regulation of BP during patients’ daily life plays a critical role in the ambulatory setting and the latest mobile health technology. In recent years, many studies have been conducted to explore the feasibility and performance of such techniques in the health care system. The ultimate aim of these studies is to find and develop an alternative to conventional BP monitoring by using cuff-less, easy-to-use, fast, and cost-effective devices for controlling and lowering the physical harm of CVDs to the human body. However, most of the current studies are at the prototype phase and face a range of issues and challenges to meet clinical standards. This review focuses on the description and analysis of the latest continuous and cuff-less methods along with their key challenges and barriers. Particularly, most advanced and standard technologies including pulse transit time (PTT), ultrasound, pulse arrival time (PAT), and machine learning are investigated. The accuracy, portability, and comfort of use of these technologies, and the ability to integrate to the wearable healthcare system are discussed. Finally, the future directions for further study are suggested."
13,10.1161/HYPERTENSIONAHA.120.16625,"Abstract High systolic blood pressure (BP) is the single leading modifiable risk factor for death worldwide. Accurate BP measurement is the cornerstone for screening, diagnosis, and management of hypertension. Inaccurate BP measurement is a leading patient safety challenge. A recent World Health Organization report has outlined the technical specifications for automated noninvasive clinical BP measurement with cuff. The report is applicable to ambulatory, home, and office devices used for clinical purposes. The report recommends that for routine clinical purposes, (1) automated devices be used, (2) an upper arm cuff be used, and (3) that only automated devices that have passed accepted international accuracy standards (eg, the International Organization for Standardization 81060-2; 2018 protocol) be used. Accurate measurement also depends on standardized patient preparation and measurement technique and a quiet, comfortable setting. The World Health Organization report provides steps for governments, manufacturers, health care providers, and their organizations that need to be taken to implement the report recommendations and to ensure accurate BP measurement for clinical purposes. Although, health and scientific organizations have had similar recommendations for many years, the World Health Organization as the leading governmental health organization globally provides a potentially synergistic nongovernment government opportunity to enhance the accuracy of clinical BP assessment. Keywords: blood pressure; hypertension; risk factors; sphygmomanometers; systole."
